fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC97,97,Kaga/Cab_F2,23661,59.76,0.19,314.06,3.28e-51,62.49,1.63,0.3,62.46,3.55,12_12_20,AU,-1
KC98,98,Kaga/Cab_F2,26191,60.66,0.048,1250.48,5.2e-68,62.65,1.14,0.21,62.61,1.74,13_12_20,AU,-1
KC99,99,Kaga/Cab_F2,26484,63.75,0.11,575.24,1.44e-58,65.18,0.86,0.16,65.03,1.06,13_12_20,AU,0
KC100,100,Kaga/Cab_F2,26729,60.63,0.08,755.22,7.05e-62,61.24,0.4,0.07,61.41,0.91,13_12_20,AU,0
KC101,101,Kaga/Cab_F2,26357,61.3846,0.261453482180831,234.782109184318,2.23322258431078e-40,67.56,3.55,0.72,66.83,6.33,12_12_20,AU,-1
KC102,102,Kaga/Cab_F2,30212,58.3968735632184,0.0651865855080701,895.841883848768,5.9157994751637e-64,60.88,1.42,0.26,60.8,2.63,12_12_20,AU,0
KC103,103,Kaga/Cab_F2,26821,63.4929655172414,0.218029256001825,291.213054071559,2.72177959244795e-50,66.7,1.91,0.35,67.29,2.56,13_12_20,AU,0
KC104,104,Kaga/Cab_F2,27629,60.6685517241379,0.13739353423302,441.567735067096,2.36552429204762e-55,62.06,0.87,0.16,61.86,1.73,13_12_20,AU,-1
KC105,105,Kaga/Cab_F2,31511,56.0480229885057,0.282048441037098,198.717719489659,1.20200430205057e-45,59.13,1.9,0.35,58.24,3.84,13_12_20,AU,-1
KC106,106,Kaga/Cab_F2,26702,59.2104187192118,0.280387036180664,211.173881381093,5.45678529351307e-45,61.93,1.7,0.32,61.11,3.02,13_12_20,AU,-1
KC107,107,Kaga/Cab_F2,26271,53.2991954022989,0.3167359651501,168.276423477961,1.25961039032394e-43,55.67,1.58,0.29,54.92,3.25,14_12_20,AU,-1
KC108,108,Kaga/Cab_F2,24354,58.9667126436782,0.263403082729601,223.864929873319,4.28355187739679e-47,62.52,2.13,0.4,63.22,3.92,14_12_20,AU,-1
