fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC101,101,Kaga/Cab_F2,26357,-0.7812250951791643,0.261453482180831,234782109184318,2.23322258431078e-26,6756,3.55,0.72,6683,6.33,12_12_20,AU,-1,0
KC102,102,Kaga/Cab_F2,30212,0.6273939463548048,0.0651865855080701,895841883848768,5.9157994751637e-51,6088,1.42,0.26,608,2.63,12_12_20,AU,0,0
KC103,103,Kaga/Cab_F2,26821,1.592578182252811,0.218029256001825,291213054071559,2.72177959244795e-36,667,1.91,0.35,6729,2.56,13_12_20,AU,0,0
KC104,104,Kaga/Cab_F2,27629,1.0757968726147726,0.13739353423302,441567735067096,2.36552429204762e-41,6206,0.87,0.16,6186,1.73,13_12_20,AU,-1,-1
KC105,105,Kaga/Cab_F2,31511,0.02432285347138282,0.282048441037098,198717719489659,1.20200430205057e-31,5913,1.9,0.35,5824,3.84,13_12_20,AU,-1,-1
KC106,106,Kaga/Cab_F2,26702,0.8490377541597006,0.280387036180664,211173881381093,5.45678529351307e-31,6193,1.7,0.32,6111,3.02,13_12_20,AU,-1,-1
KC107,107,Kaga/Cab_F2,26271,-0.42954162652678496,0.3167359651501,168276423477961,1.25961039032394e-29,5567,1.58,0.29,5492,3.25,14_12_20,AU,-1,-1
KC108,108,Kaga/Cab_F2,24354,0.7768327727270383,0.263403082729601,223864929873319,4.28355187739679e-33,6252,2.13,0.4,6322,3.92,14_12_20,AU,-1,-1
KC109,109,Kaga/Cab_F2,27966,0.3421843521482103,0.232795017441389,246103442428007,3.02471797738636e-34,5884,1.07,0.2,593,1.43,14_12_20,AU,-1,0
KC110,110,Kaga/Cab_F2,31005,0.31480365375994424,0.145423127777172,393641002102779,5.89964006042235e-40,5781,0.5,0.09,5749,0.3,14_12_20,AU,0,0
KC111,111,Kaga/Cab_F2,26828,0.25401685642605065,0.138910215850965,410906613938468,1.7738397954235e-41,5875,1.02,0.19,5914,1.73,14_12_20,AU,0,0
KC112,112,Kaga/Cab_F2,25549,1.0306250417342173,0.149021492946783,405579542724761,2.55603713809073e-40,6283,1.41,0.26,6231,2.04,14_12_20,AU,0,0
KC113,113,Kaga/Cab_F2,22191,1.7202795988479822,0.0973299748352512,662232344972515,2.79274026452363e-46,6288,0.93,0.17,6276,1.81,14_12_20,AU,-1,-1
KC114,114,Kaga/Cab_F2,31468,-0.027566673858877948,0.29048435047745,192227658202594,3.04368856418142e-31,5921,2.06,0.38,6005,3.16,14_12_20,AU,-1,-1
KC115,115,Kaga/Cab_F2,NA,-0.08603830920785098,0.113319666552719,490634621645946,1.23817983318524e-42,572,0.95,0.18,5749,1.73,14_12_20,AU,0,0
KC116,116,Kaga/Cab_F2,30582,0.9259669990565152,0.335801275564239,178152917706978,2.55453293688959e-30,6356,2.3,0.43,6457,3.77,14_12_20,AU,-1,0
KC117,117,Kaga/Cab_F2,27529,-0.8630339302957544,0.22420971507403,283593276924229,5.7169544783681e-37,6453,0.8,0.15,6442,0.75,14_12_20,DB,0,0
KC118,118,Kaga/Cab_F2,29429,0.3733191960886732,0.313028957006826,198579770335589,1.22558875002962e-31,6445,1.54,0.29,6472,0.61,14_12_20,DB,0,0
KC119,119,Kaga/Cab_F2,26938,-0.10193044878970649,0.100884624856729,59897328743715,4.64332697611936e-45,6244,1.18,0.22,6216,2.11,14_12_20,DB,0,0
KC120,120,Kaga/Cab_F2,24498,1.0776541684353291,0.436970939173695,148864998399957,3.88224123562169e-28,6568,1.2,0.22,6578,1.81,14_12_20,DB,-1,-1
KC122,122,Kaga/Cab_F2,25823,0.43800019977080684,0.118875618806004,527218112005145,1.65339128255737e-43,6509,1.41,0.26,6488,2.93,14_12_20,DB,-1,-1
KC123,123,Kaga/Cab_F2,21631,1.2691194966081203,0.358369268867215,172579132320021,6.21586980821997e-30,6051,1.21,0.22,605,0.61,15_12_20,AU,-1,-1
KC124,124,Kaga/Cab_F2,24401,0.8305824134904188,0.0837548237171589,706253231960539,4.60759399042766e-47,5904,0.23,0.04,5899,0.31,15_12_20,AU,0,0
KC125,125,Kaga/Cab_F2,22012,0.050283456220365404,0.148715972633137,377467667194342,1.90945125925046e-39,5816,1.21,0.23,5824,2.65,15_12_20,AU,-1,-1
KC126,126,Kaga/Cab_F2,22675,1.3294490314211467,0.260327624765377,238417873157441,7.3504780498506e-35,651,1.86,0.34,6593,3.16,15_12_20,AU,0,0
KC127,127,Kaga/Cab_F2,22501,0.3490689903435463,0.212700896701484,269425124228175,2.39973587180773e-35,5652,0.71,0.13,5628,0.6,15_12_20,AU,-1,-1
KC128,128,Kaga/Cab_F2,24739,1.526928531377287,0.0834246261400144,758221495909664,6.31131466460098e-48,6655,1.89,0.35,6683,2.94,15_12_20,AU,0,0
KC129,129,Kaga/Cab_F2,24358,1.0643001380119599,0.106579660242952,568486766599431,2.00455239832775e-44,6211,0.91,0.17,6216,1.5,15_12_20,AU,0,0
KC130,130,Kaga/Cab_F2,28517,1.2130857839913263,0.0682805353539312,904328337035374,4.54321763315563e-50,636,1.07,0.2,6382,1.81,15_12_20,AU,-1,0
KC131,131,Kaga/Cab_F2,26813,0.32162593572514253,0.222818166684677,256923375028539,9.0719947301643e-36,6241,2.99,0.56,6186,5.88,15_12_20,AU,-1,-1
KC132,132,Kaga/Cab_F2,26254,0.2876569921368115,0.17226354702580499,33187840788843,7.01117474421684e-38,6095,2.19,0.41,6095,4.15,16_12_20,AU,-1,0
KC133,133,Kaga/Cab_F2,29277,0.06327538220193468,0.147651545067048,38072786468802,1.50089704440768e-39,5767,0.91,0.17,5824,1.43,16_12_20,AU,0,0
KC134,134,Kaga/Cab_F2,31744,0.16778438064229803,0.0813731361206138,695666621828814,7.03273055644209e-47,5733,0.46,0.09,5719,0.53,16_12_20,AU,NA,-1
KC135,135,Kaga/Cab_F2,24155,0.6755078440558576,0.252457906757216,232706689335971,1.44880580859967e-33,6113,1.5,0.28,6141,3.01,16_12_20,AU,-1,-1
KC136,136,Kaga/Cab_F2,25250,1.2267345423955063,0.104097295235232,593919833710889,5.8864160290297e-46,6456,1.58,0.29,6488,2.56,16_12_20,AU,-1,0
KC137,137,Kaga/Cab_F2,30553,0.9562633566526226,0.126601427933791,474505733692771,3.15649281122363e-42,604,0.38,0.07,602,0.6,16_12_20,AU,-1,0
KC138,138,Kaga/Cab_F2,29312,0.7507861411851054,0.227597808680213,258727618784755,7.45831255110592e-35,6176,1.74,0.32,6261,2.64,16_12_20,AU,-1,0
KC139,139,Kaga/Cab_F2,28510,1.448499660255573,0.293256564973294,213825709610827,1.54675164319237e-32,6388,1.02,0.19,6412,0.9,16_12_20,AU,-1,-1
KC140,140,Kaga/Cab_F2,28477,-0.5692140797926925,0.447248224128592,109639905153574,2.00401113816235e-24,5619,4.23,0.79,5779,6.11,16_12_20,AU,-1,-1
KC141,141,Kaga/Cab_F2,24349,-0.05353055648040311,0.0610488777208041,91414296842729,3.35818257493454e-50,5905,1.85,0.34,5899,3.23,16_12_20,AU,0,0
KC142,142,Kaga/Cab_F2,25949,2.3300789227879104,0.20418404391776,341836405741147,5.06342830019331e-35,6674,1.81,0.35,6714,1.73,16_12_20,DB,-1,-1
KC143,143,Kaga/Cab_F2,26625,0.18722382110885627,0.356113200257403,172888716224185,5.91190366266606e-30,6372,1.54,0.29,6412,2.95,16_12_20,DB,0,0
KC144,144,Kaga/Cab_F2,28741,-0.5215550055468765,0.130845354030405,447711467872438,1.60666597635216e-41,6084,1.33,0.25,6035,1.81,16_12_20,DB,0,0
KC145,145,Kaga/Cab_F2,26214,0.8558527957048583,0.342288336835758,188093285696519,5.59235498055053e-31,6683,1.65,0.31,6623,2.86,16_12_20,DB,-1,-1
KC146,146,Kaga/Cab_F2,25584,0.7595480994349095,0.13268329197844,481187316725255,2.13397420015274e-42,6371,0.36,0.07,6382,0.3,16_12_20,DB,-1,0
KC147,147,Kaga/Cab_F2,26424,0.24822490731906785,0.131269813018138,470730910633289,3.94746203340262e-42,6195,0.36,0.07,6201,0.6,16_12_20,DB,-1,0
KC148,148,Kaga/Cab_F2,30298,0.11691085882446169,0.302111405964903,202468813567868,7.12288099103167e-32,6332,1.45,0.27,6412,2.56,16_12_20,DB,-1,-1
